id,firstname,lastname,age
1,Chris,Moore,42
2,Katie,Brown,46
3,Michael,Miller,24
4,Sarah,Brown,70
5,Alex,Brown,53
6,Alex,Jones,26
7,Sarah,Brown,25
8,Michael,Brown,21
9,Michael,Moore,44
10,Alex,Davis,52
11,Michael,Moore,39
12,Chris,Brown,50
13,David,Brown,43
14,Chris,Taylor,45
15,Sarah,Moore,60
16,Michael,Moore,69
17,Katie,Brown,24
18,David,Wilson,30
19,Chris,Wilson,55
20,Alex,Moore,35
21,David,Brown,28
22,Laura,Davis,33
23,Chris,Brown,67
24,Michael,Brown,62
25,Alex,Jones,71
26,David,Brown,48
27,Chris,Brown,54
28,Katie,Taylor,40
29,Chris,Brown,47
30,John,Moore,30
31,Jane,Brown,50
32,Sarah,Brown,32
33,Katie,Taylor,23
34,Michael,Brown,55
35,Alex,Moore,22
36,Katie,Brown,46
37,John,Brown,42
38,John,Moore,40
39,Katie,Taylor,23
40,Jane,Taylor,67
41,Sarah,Brown,19
42,Alex,Moore,22
43,John,Davis,46
44,Chris,Taylor,30
45,John,Taylor,33
46,Katie,Brown,40
47,Michael,Brown,55
48,Katie,Taylor,44
49,Sarah,Brown,20
50,Jane,Taylor,35
51,David,Brown,46
52,John,Brown,26
53,Laura,Brown,22
54,Michael,Brown,28
55,Alex,Brown,44
56,John,Brown,42
57,Katie,Brown,44
58,Katie,Taylor,55
59,David,Brown,31
60,Katie,Brown,38
61,Michael,Brown,42
62,John,Brown,53
63,John,Taylor,30
64,Sarah,Brown,50
65,David,Brown,55
66,Chris,Brown,50
67,Sarah,Moore,38
68,Laura,Taylor,52
69,Michael,Moore,66
70,Michael,Moore,55
71,Jane,Taylor,32
72,Alex,Moore,24
73,John,Taylor,42
74,David,Brown,50
75,David,Moore,47
76,Katie,Taylor,42
77,David,Brown,42
78,John,Taylor,50
79,Jane,Brown,20
80,Chris,Brown,22
81,Michael,Moore,30
82,Michael,Wilson,50
83,Alex,Brown,33
84,Jane,Moore,46
85,Jane,Brown,36
86,David,Taylor,62
87,Jane,Taylor,22
88,Jane,Wilson,33
89,Laura,Brown,40
90,Chris,Brown,31
91,Michael,Moore,55
92,Chris,Brown,30
93,Michael,Brown,35
94,Katie,Brown,40
95,Sarah,Brown,38
96,David,Taylor,55
97,Michael,Taylor,70
98,Sarah,Moore,40
99,David,Moore,38
100,Laura,Taylor,29
1,Chris,Moore,42
2,Katie,Brown,46
3,Michael,Miller,24
4,Sarah,Brown,70
5,Alex,Brown,53
6,Alex,Jones,26
7,Sarah,Brown,25
8,Michael,Brown,21
9,Michael,Moore,44
10,Alex,Davis,52
11,Michael,Moore,39
12,Chris,Brown,50
13,David,Brown,43
14,Chris,Taylor,45
15,Sarah,Moore,60
16,Michael,Moore,69
17,Katie,Brown,24
18,David,Wilson,30
19,Chris,Wilson,55
20,Alex,Moore,35
21,David,Brown,28
22,Laura,Davis,33
23,Chris,Brown,67
24,Michael,Brown,62
25,Alex,Jones,71
26,David,Brown,48
27,Chris,Brown,54
28,Katie,Taylor,40
29,Chris,Brown,47
30,John,Moore,30
31,Jane,Brown,50
32,Sarah,Brown,32
33,Katie,Taylor,23
34,Michael,Brown,55
35,Alex,Moore,22
36,Katie,Brown,46
37,John,Brown,42
38,John,Moore,40
39,Katie,Taylor,23
40,Jane,Taylor,67
41,Sarah,Brown,19
